"Inkomensgrens huishouden";"Duur inkomenspositie";"Kenmerken van huishoudens";"Regio's";"Perioden";"Particuliere huishoudens (x 1 000)";"Personen (x 1 000)";"Kinderen (x 1 000)";"Particuliere huishoudens relatief (%)";"Personen relatief (%)";"Kinderen relatief (%)"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Nederland";"2017";"   581.1";"  1028.7";"   263.9";"     7.9";"     6.3";"     8.1"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Groningen (PV)";"2017";"    26.6";"    43.2";"     9.8";"    10.4";"     8.1";"     9.8"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Friesland (PV)";"2017";"    23.0";"    39.0";"     9.4";"     8.3";"     6.3";"     7.3"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Drenthe (PV)";"2017";"    15.0";"    26.5";"     6.7";"     7.1";"     5.6";"     7.2"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Overijssel (PV)";"2017";"    35.7";"    63.4";"    16.0";"     7.6";"     5.8";"     6.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Flevoland (PV)";"2017";"    12.8";"    25.5";"     7.9";"     7.9";"     6.5";"     8.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Gelderland (PV)";"2017";"    61.4";"   106.8";"    25.9";"     7.2";"     5.5";"     6.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Utrecht (PV)";"2017";"    37.8";"    69.4";"    18.8";"     6.9";"     5.5";"     6.9"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Noord-Holland (PV)";"2017";"   109.1";"   188.6";"    46.8";"     8.7";"     7.1";"     8.9"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Zuid-Holland (PV)";"2017";"   140.2";"   256.1";"    69.9";"     9.0";"     7.5";"    10.1"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Zeeland (PV)";"2017";"    11.1";"    19.1";"     4.8";"     6.7";"     5.2";"     6.8"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Noord-Brabant (PV)";"2017";"    70.4";"   126.5";"    32.7";"     6.6";"     5.2";"     7.0"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Limburg (PV)";"2017";"    38.1";"    64.9";"    15.1";"     7.7";"     6.1";"     8.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Aa en Hunze";"2017";"     0.5";"     1.0";"     0.2";"     5.0";"     4.2";"     5.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Aalsmeer";"2017";"     0.5";"     1.0";"     0.3";"     3.9";"     3.1";"     3.8"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Aalten";"2017";"     0.5";"     0.9";"     0.2";"     4.6";"     3.4";"     4.1"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Achtkarspelen";"2017";"     0.8";"     1.6";"     0.5";"     7.2";"     5.8";"     7.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Alblasserdam";"2017";"     0.5";"     0.9";"     0.3";"     5.8";"     4.4";"     5.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Almelo";"2017";"     3.3";"     6.0";"     1.5";"    10.7";"     8.6";"    10.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Almere";"2017";"     6.7";"    13.2";"     4.2";"     8.3";"     6.8";"     9.4"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Alphen-Chaam";"2017";"     0.2";"     0.3";"     0.1";"     4.2";"     3.3";"     4.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Amersfoort";"2017";"     4.8";"     8.6";"     2.4";"     7.3";"     5.8";"     6.8"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Appingedam";"2017";"     0.6";"     1.0";"     0.3";"    10.2";"     8.8";"    13.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Beek (L.)";"2017";"     0.4";"     0.7";"     0.2";"     5.2";"     4.4";"     6.4"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Borsele";"2017";"     0.4";"     0.8";"     0.2";"     4.5";"     3.6";"     5.0"
