"Inkomensgrens huishouden";"Duur inkomenspositie";"Kenmerken van huishoudens";"Regio's";"Perioden";"Particuliere huishoudens (x 1 000)";"Personen (x 1 000)";"Kinderen (x 1 000)";"Particuliere huishoudens relatief (%)";"Personen relatief (%)";"Kinderen relatief (%)"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Nederland";"2014";"   607.9";"  1142.8";"   320.8";"     8.5";"     7.2";"     9.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Groningen (PV)";"2014";"    26.1";"    44.4";"    11.0";"    10.5";"     8.4";"    10.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Friesland (PV)";"2014";"    23.4";"    42.3";"    11.4";"     8.6";"     6.8";"     8.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Drenthe (PV)";"2014";"    15.5";"    29.6";"     8.4";"     7.5";"     6.3";"     8.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Overijssel (PV)";"2014";"    36.8";"    71.0";"    20.2";"     8.0";"     6.5";"     8.3"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Flevoland (PV)";"2014";"    14.0";"    29.5";"     9.9";"     8.9";"     7.7";"    10.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Gelderland (PV)";"2014";"    62.4";"   117.8";"    32.5";"     7.5";"     6.1";"     8.0"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Utrecht (PV)";"2014";"    38.7";"    74.8";"    21.8";"     7.3";"     6.1";"     8.0"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Noord-Holland (PV)";"2014";"   118.0";"   212.9";"    57.3";"     9.7";"     8.2";"    10.9"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Zuid-Holland (PV)";"2014";"   146.6";"   281.8";"    82.0";"     9.7";"     8.4";"    11.8"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Zeeland (PV)";"2014";"    11.1";"    20.2";"     5.5";"     6.8";"     5.5";"     7.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Noord-Brabant (PV)";"2014";"    74.0";"   143.4";"    41.1";"     7.1";"     6.0";"     8.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Limburg (PV)";"2014";"    41.2";"    75.2";"    19.6";"     8.5";"     7.1";"    10.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Aa en Hunze";"2014";"     0.6";"     1.1";"     0.3";"     5.4";"     4.5";"     5.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Aalsmeer";"2014";"     0.5";"     1.0";"     0.3";"     3.9";"     3.5";"     4.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Aalten";"2014";"     0.5";"     1.1";"     0.3";"     4.9";"     4.1";"     5.6"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Achtkarspelen";"2014";"     0.9";"     1.9";"     0.6";"     8.2";"     6.8";"     9.3"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Alblasserdam";"2014";"     0.4";"     0.9";"     0.3";"     5.5";"     4.4";"     5.4"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Almelo";"2014";"     3.5";"     6.7";"     1.9";"    11.3";"     9.6";"    12.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Almere";"2014";"     7.5";"    15.8";"     5.3";"     9.7";"     8.4";"    11.8"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Alphen-Chaam";"2014";"     0.2";"     0.4";"     0.1";"     4.6";"     4.4";"     6.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Amersfoort";"2014";"     5.0";"     9.5";"     2.8";"     7.9";"     6.5";"     8.0"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Appingedam";"2014";"     0.5";"     0.9";"     0.3";"     9.2";"     8.1";"    12.7"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Beek (L.)";"2014";"     0.4";"     0.7";"     0.2";"     5.3";"     4.6";"     7.5"
"Inkomen tot lage-inkomensgrens";"Ten minste 1 jaar";"Particuliere huishoudens";"Borsele";"2014";"     0.4";"     0.9";"     0.3";"     4.6";"     3.9";"     5.0"
